Date,Buy Stock,Sell Stock,Buy Price,Sell Price,Buy Quantity,Sell Quantity,Profit
2011-08-10,WPRO IB Equity,MSIL IB Equity,119.08,1279.7,10.746556936513269,1.0,0
2011-08-24,MSIL IB Equity,WPRO IB Equity,1115.15,110.25,1.0,10.746556936513269,69.65790225058781
2012-07-11,WPRO IB Equity,ICICIBC IB Equity,125.15,170.35,1.361166600079904,1.0,0
2012-07-23,ICICIBC IB Equity,WPRO IB Equity,165.9,119.22,1.0,1.361166600079904,-3.621717938473852
2012-07-25,KMB IB Equity,BAF IB Equity,269.55,103.92,0.3855314412910406,1.0,0
2012-07-27,KMB IB Equity,UTCEM IB Equity,264.98,1627.8,6.143105140010566,1.0,0
2012-08-09,BHARTI IB Equity,HUVR IB Equity,231.49,487.3,2.1050585338459546,1.0,0
2012-08-10,BHARTI IB Equity,HUVR IB Equity,230.5,497.7,2.159219088937093,1.0,0
2012-08-10,BAF IB Equity,KMB IB Equity,107.62,289.85,1.0,0.3855314412910406,4.126288258208126
2012-08-10,UTCEM IB Equity,KMB IB Equity,1672.95,289.85,1.0,6.143105140010566,107.62902483206273
2012-08-10,HUVR IB Equity,BHARTI IB Equity,497.7,230.5,1.0,2.1050585338459546,-12.484007948507491
2012-08-10,HUVR IB Equity,BHARTI IB Equity,497.7,230.5,1.0,2.159219088937093,0.0
2012-08-14,BHARTI IB Equity,HUVR IB Equity,234.78,495.05,2.1085697248487945,1.0,0
2012-08-15,BHARTI IB Equity,HUVR IB Equity,234.78,495.05,2.1085697248487945,1.0,0
2012-08-16,BHARTI IB Equity,HUVR IB Equity,234.24,494.55,2.111296106557377,1.0,0
2012-08-17,BHARTI IB Equity,HUVR IB Equity,236.22,502.1,2.125560917788502,1.0,0
2012-08-20,BHARTI IB Equity,HUVR IB Equity,236.22,502.1,2.125560917788502,1.0,0
2012-08-21,BHARTI IB Equity,HUVR IB Equity,233.11,513.5,2.2028227017287976,1.0,0
2012-08-22,BHARTI IB Equity,HUVR IB Equity,224.14,511.55,2.2822789328098514,1.0,0
2012-08-23,BHARTI IB Equity,HUVR IB Equity,224.14,518.95,2.3152940126706527,1.0,0
2012-08-24,BHARTI IB Equity,HUVR IB Equity,223.51,518.85,2.3213726455192165,1.0,0
2012-08-27,BHARTI IB Equity,HUVR IB Equity,224.5,521.0,2.3207126948775056,1.0,0
2012-08-28,BHARTI IB Equity,HUVR IB Equity,224.37,523.3,2.3323082408521634,1.0,0
2012-08-29,BHARTI IB Equity,HUVR IB Equity,218.37,522.85,2.3943307230846727,1.0,0
2012-08-30,BHARTI IB Equity,HUVR IB Equity,218.78,526.5,2.4065271048541916,1.0,0
2012-08-30,HUVR IB Equity,BHARTI IB Equity,526.5,218.78,1.0,2.1085697248487945,-65.1871155975807
2012-08-30,HUVR IB Equity,BHARTI IB Equity,526.5,218.78,1.0,2.1085697248487945,-65.1871155975807
2012-08-30,HUVR IB Equity,BHARTI IB Equity,526.5,218.78,1.0,2.111296106557377,-64.59063780737705
2012-08-30,HUVR IB Equity,BHARTI IB Equity,526.5,218.78,1.0,2.125560917788502,-61.46978240623145
2012-08-30,HUVR IB Equity,BHARTI IB Equity,526.5,218.78,1.0,2.125560917788502,-61.46978240623145
2012-08-30,HUVR IB Equity,BHARTI IB Equity,526.5,218.78,1.0,2.2028227017287976,-44.566449315773696
2012-08-30,HUVR IB Equity,BHARTI IB Equity,526.5,218.78,1.0,2.2822789328098514,-27.18301507986076
2012-08-30,HUVR IB Equity,BHARTI IB Equity,526.5,218.78,1.0,2.3152940126706527,-19.959975907914618
2012-08-30,HUVR IB Equity,BHARTI IB Equity,526.5,218.78,1.0,2.3213726455192165,-18.630092613305848
2012-08-30,HUVR IB Equity,BHARTI IB Equity,526.5,218.78,1.0,2.3207126948775056,-18.77447661469933
2012-08-30,HUVR IB Equity,BHARTI IB Equity,526.5,218.78,1.0,2.3323082408521634,-16.237603066363647
2012-08-30,HUVR IB Equity,BHARTI IB Equity,526.5,218.78,1.0,2.3943307230846727,-2.66832440353527
2012-08-30,HUVR IB Equity,BHARTI IB Equity,526.5,218.78,1.0,2.4065271048541916,0.0
2012-09-21,NEST IB Equity,APNT IB Equity,4350.35,394.41,0.09066167090004253,1.0,0
2012-09-24,NEST IB Equity,APNT IB Equity,4355.45,397.89,0.0913545098669483,1.0,0
2012-09-25,NEST IB Equity,TTAN IB Equity,4352.5,244.95,0.05627800114876508,1.0,0
2012-09-26,NEST IB Equity,TTAN IB Equity,4342.7,245.2,0.05646256936928639,1.0,0
2012-09-27,NEST IB Equity,TTAN IB Equity,4328.4,254.15,0.05871684687182331,1.0,0
2012-10-09,APNT IB Equity,NEST IB Equity,387.94,4622.5,1.0,0.09066167090004253,31.14357373544657
2012-10-09,APNT IB Equity,NEST IB Equity,387.94,4622.5,1.0,0.0913545098669483,34.34622185996855
2012-10-09,TTAN IB Equity,NEST IB Equity,265.05,4622.5,1.0,0.05627800114876508,-4.904939689833451
2012-10-09,TTAN IB Equity,NEST IB Equity,265.05,4622.5,1.0,0.05646256936928639,-4.051773090473681
2012-10-09,TTAN IB Equity,NEST IB Equity,265.05,4622.5,1.0,0.05871684687182331,6.368624665003253
2012-10-22,WPRO IB Equity,AXSB IB Equity,114.85,244.13,2.1256421419242493,1.0,0
2012-10-23,WPRO IB Equity,AXSB IB Equity,114.65,244.04,2.128565198430004,1.0,0
2012-10-24,WPRO IB Equity,AXSB IB Equity,114.65,244.04,2.128565198430004,1.0,0
2012-10-25,WPRO IB Equity,AXSB IB Equity,113.68,247.74,2.179275158339198,1.0,0
2012-10-26,WPRO IB Equity,AXSB IB Equity,112.43,246.25,2.1902517121764653,1.0,0
2012-10-29,AXSB IB Equity,WPRO IB Equity,244.46,115.3,1.0,2.1256421419242493,0.6265389638659057
2012-10-29,AXSB IB Equity,WPRO IB Equity,244.46,115.3,1.0,2.128565198430004,0.9635673789794685
2012-10-29,AXSB IB Equity,WPRO IB Equity,244.46,115.3,1.0,2.128565198430004,0.9635673789794685
2012-10-29,AXSB IB Equity,WPRO IB Equity,244.46,115.3,1.0,2.179275158339198,6.81042575650948
2012-10-29,AXSB IB Equity,WPRO IB Equity,244.46,115.3,1.0,2.1902517121764653,8.076022413946426
2012-11-19,HUVR IB Equity,BHARTI IB Equity,517.15,279.21,0.5399013825775887,1.0,0
2012-11-20,UTCEM IB Equity,MM IB Equity,1898.25,469.18,0.24716449361253787,1.0,0
2012-12-06,BHARTI IB Equity,HUVR IB Equity,292.73,534.35,1.0,0.5399013825775887,-4.2336962196654895
2012-12-06,MM IB Equity,UTCEM IB Equity,465.0,1979.3,1.0,0.24716449361253787,24.21268220729619
2013-01-23,HUVR IB Equity,BHARTI IB Equity,460.2,330.99,0.7192307692307692,1.0,0
2013-02-04,BHARTI IB Equity,HUVR IB Equity,298.27,466.25,1.0,0.7192307692307692,37.07134615384619
2013-02-06,HUVR IB Equity,APNT IB Equity,454.9,461.87,1.0153220488019346,1.0,0
2013-02-11,NTPC IB Equity,INFO IB Equity,122.96,348.83,2.836938841899805,1.0,0
2013-02-22,APNT IB Equity,HUVR IB Equity,453.02,455.4,1.0,1.0153220488019346,9.35766102440099
2013-02-22,INFO IB Equity,NTPC IB Equity,354.57,126.13,1.0,2.836938841899805,3.253096128822378
2013-02-26,MSIL IB Equity,INFO IB Equity,1406.15,370.01,0.26313693418198625,1.0,0
2013-02-28,HDFCB IB Equity,TCS IB Equity,312.8,757.38,2.4212915601023015,1.0,0
2013-03-01,HDFCB IB Equity,TCS IB Equity,310.77,749.78,2.4126524439295944,1.0,0
2013-03-04,IIB IB Equity,TCS IB Equity,400.8,755.1,1.8839820359281436,1.0,0
2013-03-14,TTAN IB Equity,APNT IB Equity,229.15,489.06,2.1342352171066987,1.0,0
2013-03-14,INFO IB Equity,MSIL IB Equity,359.36,1420.45,1.0,0.26313693418198625,14.412858158802369
2013-03-14,TCS IB Equity,HDFCB IB Equity,783.93,324.8,1.0,2.4212915601023015,2.5054987212276636
2013-03-14,TCS IB Equity,HDFCB IB Equity,783.93,324.8,1.0,2.4126524439295944,-0.30048621166769607
2013-03-14,TCS IB Equity,IIB IB Equity,783.93,430.7,1.0,1.8839820359281436,27.501062874251524
