Date,Buy Stock,Sell Stock,Buy Price,Sell Price,Buy Quantity,Sell Quantity,Profit
2012-08-31,MM IB Equity,WPRO IB Equity,349.13,113.6,0.3253802308595652,1.0,0
2012-08-31,WPRO IB Equity,MM IB Equity,113.6,349.13,1.0,0.3253802308595652,0.0
2013-06-30,NTPC IB Equity,WPRO IB Equity,126.88,122.12,0.9624842370744011,1.0,0
2013-06-30,WPRO IB Equity,NTPC IB Equity,122.12,126.88,1.0,0.9624842370744011,0.0
2013-07-31,WPRO IB Equity,NTPC IB Equity,131.7,123.08,0.9345482156416098,1.0,0
2013-08-31,NTPC IB Equity,WPRO IB Equity,109.25,163.58,1.0,0.9345482156416098,43.62339711465454
2013-12-31,KMB IB Equity,HUVR IB Equity,384.85,583.25,1.5155255294270493,1.0,0
2013-12-31,HUVR IB Equity,KMB IB Equity,583.25,384.85,1.0,1.5155255294270493,0.0
2014-01-31,BAF IB Equity,APNT IB Equity,157.54,499.85,3.1728449917481276,1.0,0
2014-02-28,APNT IB Equity,BAF IB Equity,471.15,149.73,1.0,3.1728449917481276,3.920080614447162
2014-04-30,HDFCB IB Equity,SUNP IB Equity,369.05,573.35,1.553583525267579,1.0,0
2014-04-30,SUNP IB Equity,HDFCB IB Equity,573.35,369.05,1.0,1.553583525267579,0.0
2014-06-30,NTPC IB Equity,WPRO IB Equity,132.67,187.16,1.4107183236602097,1.0,0
2014-06-30,WPRO IB Equity,NTPC IB Equity,187.16,132.67,1.0,1.4107183236602097,0.0
2015-07-31,RELIANCE IB Equity,NTPC IB Equity,453.83,115.08,0.25357512725029197,1.0,0
2015-08-31,NTPC IB Equity,RELIANCE IB Equity,112.58,451.75,1.0,0.25357512725029197,1.9725637353193968
2016-01-31,JSTL IB Equity,MSIL IB Equity,102.79,4635.05,45.09242144177449,1.0,0
2016-02-29,MSIL IB Equity,JSTL IB Equity,3946.8,105.08,1.0,45.09242144177449,791.5116451016632
2016-06-30,MM IB Equity,RELIANCE IB Equity,666.93,430.16,0.6449852308338208,1.0,0
2016-06-30,RELIANCE IB Equity,MM IB Equity,430.16,666.93,1.0,0.6449852308338208,0.0
2016-07-31,AXSB IB Equity,INFO IB Equity,542.8,586.05,1.0796794399410465,1.0,0
2016-07-31,HDFCB IB Equity,TCS IB Equity,586.95,1250.9,2.1311866428145496,1.0,0
2016-08-31,INFO IB Equity,AXSB IB Equity,542.5,550.2,1.0,1.0796794399410465,51.53962785556379
2016-08-31,TCS IB Equity,HDFCB IB Equity,1349.0,620.83,1.0,2.1311866428145496,-25.895396541442977
2017-01-31,HCLT IB Equity,BAF IB Equity,414.65,869.95,2.098034486916677,1.0,0
2017-02-28,BAF IB Equity,HCLT IB Equity,1066.8,407.13,1.0,2.098034486916677,-212.62721934161328
2017-06-30,MM IB Equity,NTPC IB Equity,712.15,133.5,0.1874605069156779,1.0,0
2017-06-30,NTPC IB Equity,MM IB Equity,133.5,712.15,1.0,0.1874605069156779,0.0
2018-01-31,HCLT IB Equity,IIB IB Equity,440.5,1626.25,3.691827468785471,1.0,0
2018-02-28,IIB IB Equity,BAF IB Equity,1797.0,1731.5,0.9635503617139677,1.0,0
2018-02-28,IIB IB Equity,HCLT IB Equity,1797.0,492.83,1.0,3.691827468785471,22.44333144154362
2018-02-28,BAF IB Equity,IIB IB Equity,1731.5,1797.0,1.0,0.9635503617139677,0.0
2018-08-31,ITC IB Equity,TTAN IB Equity,301.7,916.85,3.038945972820683,1.0,0
2018-08-31,TTAN IB Equity,ITC IB Equity,916.85,301.7,1.0,3.038945972820683,0.0
2018-12-31,HUVR IB Equity,ITC IB Equity,1825.9,283.0,0.15499205871077276,1.0,0
2018-12-31,ITC IB Equity,HUVR IB Equity,283.0,1825.9,1.0,0.15499205871077276,0.0
2019-01-31,LT IB Equity,INFO IB Equity,1441.75,664.65,0.4610022542049592,1.0,0
2019-01-31,APNT IB Equity,TCS IB Equity,1371.85,1902.35,1.3867040857236579,1.0,0
2019-02-28,INFO IB Equity,LT IB Equity,756.55,1324.6,1.750842640935827,1.0,0
2019-02-28,INFO IB Equity,LT IB Equity,756.55,1324.6,1.0,0.4610022542049592,-145.906414080111
2019-02-28,TCS IB Equity,APNT IB Equity,2030.75,1456.95,1.0,1.3867040857236579,-10.391482304916622
