Date,Buy Stock,Sell Stock,Buy Price,Sell Price,Buy Quantity,Sell Quantity,Profit
2011-04-30,TATA IB Equity,AXSB IB Equity,58.69,281.81,4.801669790424263,1.0,0
2011-04-30,APNT IB Equity,TCS IB Equity,251.84,589.83,2.3420822744599747,1.0,0
2011-04-30,AXSB IB Equity,TATA IB Equity,281.81,58.69,1.0,4.801669790424263,0.0
2011-04-30,TCS IB Equity,APNT IB Equity,589.83,251.84,1.0,2.3420822744599747,0.0
2011-05-31,NTPC IB Equity,MM IB Equity,151.17,370.48,2.4507508103459683,1.0,0
2011-06-30,BAF IB Equity,APNT IB Equity,61.25,316.84,5.172897959183673,1.0,0
2011-06-30,MM IB Equity,NTPC IB Equity,337.83,145.63,1.0,2.4507508103459683,19.072840510683392
2011-06-30,APNT IB Equity,BAF IB Equity,316.84,61.25,1.0,5.172897959183673,0.0
2011-07-31,UTCEM IB Equity,ITC IB Equity,934.35,134.47,0.1439182319259378,1.0,0
2011-07-31,MSIL IB Equity,LT IB Equity,1143.55,803.44,0.7025840584145863,1.0,0
2011-07-31,BAF IB Equity,APNT IB Equity,60.52,330.83,5.4664573694646394,1.0,0
2011-08-31,WPRO IB Equity,MM IB Equity,131.26,365.28,2.782873685814414,1.0,0
2011-08-31,JSTL IB Equity,AXSB IB Equity,69.48,270.4,3.8917674150834767,1.0,0
2011-08-31,TCS IB Equity,SUNP IB Equity,566.8,261.38,0.46115031757233593,1.0,0
2011-08-31,ITC IB Equity,UTCEM IB Equity,139.27,1027.7,1.0,0.1439182319259378,8.634766950286286
2011-08-31,LT IB Equity,MSIL IB Equity,783.51,1208.75,1.0,0.7025840584145863,65.73848060863112
2011-08-31,APNT IB Equity,BAF IB Equity,307.04,68.93,1.0,5.4664573694646394,69.7629064771976
2011-08-31,MM IB Equity,WPRO IB Equity,365.28,131.26,1.0,2.782873685814414,0.0
2011-08-31,AXSB IB Equity,JSTL IB Equity,270.4,69.48,1.0,3.8917674150834767,0.0
2011-08-31,SUNP IB Equity,TCS IB Equity,261.38,566.8,1.0,0.46115031757233593,0.0
2011-09-30,WPRO IB Equity,MM IB Equity,112.06,368.78,3.2909155809387824,1.0,0
2011-09-30,HCLT IB Equity,APNT IB Equity,102.8,328.71,3.1975680933852137,1.0,0
2011-10-31,WPRO IB Equity,MM IB Equity,110.71,404.68,3.655315689639599,1.0,0
2011-10-31,ITC IB Equity,UTCEM IB Equity,129.87,1102.75,8.491183491183492,1.0,0
2011-10-31,MM IB Equity,WPRO IB Equity,404.68,110.71,1.0,3.2909155809387824,-40.34273603426742
2011-10-31,APNT IB Equity,HCLT IB Equity,313.01,100.4,1.0,3.1975680933852137,8.025836575875502
2011-10-31,MM IB Equity,WPRO IB Equity,404.68,110.71,1.0,3.655315689639599,0.0
2011-10-31,UTCEM IB Equity,ITC IB Equity,1102.75,129.87,1.0,8.491183491183492,0.0
2011-11-30,SBIN IB Equity,INFO IB Equity,190.22,354.65,1.864420145095153,1.0,0
2011-12-31,ICICIBC IB Equity,WPRO IB Equity,138.63,129.13,0.9314722643006564,1.0,0
2011-12-31,TTAN IB Equity,HUVR IB Equity,186.1,391.0,2.1010209564750135,1.0,0
2011-12-31,APNT IB Equity,TCS IB Equity,279.94,567.38,2.0267914553118525,1.0,0
2011-12-31,INFO IB Equity,SBIN IB Equity,331.6,181.93,1.0,1.864420145095153,7.5939569971611505
2011-12-31,WPRO IB Equity,ICICIBC IB Equity,129.13,138.63,1.0,0.9314722643006564,0.0
2011-12-31,HUVR IB Equity,TTAN IB Equity,391.0,186.1,1.0,2.1010209564750135,0.0
2011-12-31,TCS IB Equity,APNT IB Equity,567.38,279.94,1.0,2.0267914553118525,0.0
2012-01-31,ICICIBC IB Equity,WPRO IB Equity,126.63,133.25,1.0522782910842612,1.0,0
2012-01-31,BHARTI IB Equity,HUVR IB Equity,310.84,402.4,1.2945566851113113,1.0,0
2012-01-31,APNT IB Equity,TCS IB Equity,259.31,589.13,2.271913925417454,1.0,0
2012-02-29,WPRO IB Equity,ICICIBC IB Equity,137.66,161.49,1.0,1.0522782910842612,32.27242122719736
2012-02-29,HUVR IB Equity,BHARTI IB Equity,385.1,325.44,1.0,1.2945566851113113,36.20052760262513
2012-02-29,TCS IB Equity,APNT IB Equity,564.0,293.89,1.0,2.271913925417454,103.69278354093551
2012-03-31,MM IB Equity,WPRO IB Equity,340.83,142.03,0.41671801191209695,1.0,0
2012-03-31,BHARTI IB Equity,UTCEM IB Equity,311.84,1412.75,4.5303681375064135,1.0,0
2012-04-30,RELIANCE IB Equity,WPRO IB Equity,334.28,147.71,0.44187507478760324,1.0,0
2012-04-30,BHARTI IB Equity,UTCEM IB Equity,306.38,1491.45,4.867974410862328,1.0,0
2012-04-30,WPRO IB Equity,MM IB Equity,147.71,354.25,1.0,0.41671801191209695,-0.08764428013965908
2012-04-30,UTCEM IB Equity,BHARTI IB Equity,1491.45,306.38,1.0,4.5303681375064135,-103.43581003078498
2012-04-30,WPRO IB Equity,RELIANCE IB Equity,147.71,334.28,1.0,0.44187507478760324,0.0
2012-04-30,UTCEM IB Equity,BHARTI IB Equity,1491.45,306.38,1.0,4.867974410862328,0.0
2012-05-31,BHARTI IB Equity,ITC IB Equity,279.66,163.7,0.5853536437102195,1.0,0
2012-05-31,INFO IB Equity,TTMT IB Equity,307.83,313.39,1.0180619172920118,1.0,0
2012-06-30,BHARTI IB Equity,HUVR IB Equity,271.23,419.0,1.5448143641927514,1.0,0
2012-06-30,HDFCB IB Equity,APNT IB Equity,245.73,377.71,1.5370935579701297,1.0,0
2012-06-30,ITC IB Equity,BHARTI IB Equity,155.87,271.23,1.0,0.5853536437102195,2.89546878352283
2012-06-30,TTMT IB Equity,INFO IB Equity,222.12,298.48,1.0,1.0180619172920118,81.75112107331971
2012-06-30,HUVR IB Equity,BHARTI IB Equity,419.0,271.23,1.0,1.5448143641927514,0.0
2012-06-30,APNT IB Equity,HDFCB IB Equity,377.71,245.73,1.0,1.5370935579701297,0.0
2012-08-31,WPRO IB Equity,ICICIBC IB Equity,113.6,174.36,1.5348591549295776,1.0,0
2012-08-31,NEST IB Equity,HUVR IB Equity,4437.35,470.25,0.10597541325340575,1.0,0
2012-08-31,INFO IB Equity,LT IB Equity,277.38,613.78,2.212776696229,1.0,0
2012-08-31,ICICIBC IB Equity,WPRO IB Equity,174.36,113.6,1.0,1.5348591549295776,0.0
2012-08-31,HUVR IB Equity,NEST IB Equity,470.25,4437.35,1.0,0.10597541325340575,0.0
2012-08-31,LT IB Equity,INFO IB Equity,613.78,277.38,1.0,2.212776696229,0.0
2012-09-30,BHARTI IB Equity,HUVR IB Equity,222.57,515.2,2.3147773734106125,1.0,0
2012-10-31,NEST IB Equity,HUVR IB Equity,4430.35,542.65,0.12248467953999118,1.0,0
2012-10-31,HUVR IB Equity,BHARTI IB Equity,542.65,239.06,1.0,2.3147773734106125,10.72067888754109
2012-10-31,HUVR IB Equity,NEST IB Equity,542.65,4430.35,1.0,0.12248467953999118,0.0
2012-12-31,NTPC IB Equity,MM IB Equity,133.88,477.85,3.5692411114430835,1.0,0
2012-12-31,MM IB Equity,NTPC IB Equity,477.85,133.88,1.0,3.5692411114430835,0.0
2013-01-31,NTPC IB Equity,ICICIBC IB Equity,129.46,210.75,1.62791595859725,1.0,0
2013-01-31,INFO IB Equity,AXSB IB Equity,288.54,272.44,0.9442018437651625,1.0,0
2013-01-31,TCS IB Equity,SUNP IB Equity,631.72,369.75,0.5853067814854682,1.0,0
2013-02-28,HUVR IB Equity,ITC IB Equity,465.0,206.1,0.4432258064516129,1.0,0
2013-02-28,LT IB Equity,AXSB IB Equity,682.18,301.54,0.4420240992113519,1.0,0
2013-02-28,HDFCB IB Equity,IIB IB Equity,320.08,438.15,1.3688765308672832,1.0,0
2013-02-28,ICICIBC IB Equity,NTPC IB Equity,212.91,130.63,1.0,1.62791595859725,-0.2553383284412345
2013-02-28,AXSB IB Equity,INFO IB Equity,301.54,346.37,1.0,0.9442018437651625,25.50319262493931
2013-02-28,SUNP IB Equity,TCS IB Equity,359.9,673.2,1.0,0.5853067814854682,34.12852529601726
