,Date,Buy Stock,Sell Stock,Buy Price,Sell Price,Buy Quantity,Sell Quantity,Profit
0,2011-06-19,MSIL IB Equity,JSTL IB Equity,1227.6,88.79,0.07232811990876509,1.0,0
1,2011-06-19,JSTL IB Equity,MSIL IB Equity,88.79,1227.6,1.0,0.07232811990876509,0.0
2,2011-06-26,BHARTI IB Equity,IIB IB Equity,350.86,251.05,0.7155275608504816,1.0,0
3,2011-07-03,HDFCB IB Equity,TTAN IB Equity,241.63,212.05,0.8775814261474155,1.0,0
4,2011-07-10,BAF IB Equity,BHARTI IB Equity,61.33,346.22,5.645198108592859,1.0,0
5,2011-07-17,IIB IB Equity,BHARTI IB Equity,281.05,352.66,1.0,0.7155275608504816,-28.712050390469123
6,2011-07-17,TTAN IB Equity,HDFCB IB Equity,228.5,252.34,1.0,0.8775814261474155,-7.051102925961162
7,2011-07-17,BHARTI IB Equity,BAF IB Equity,352.66,62.18,1.0,5.645198108592859,-1.64158160769606
8,2011-07-24,HCLT IB Equity,TCS IB Equity,126.0,562.7,4.465873015873016,1.0,0
9,2011-07-24,UTCEM IB Equity,APNT IB Equity,991.65,317.11,0.3197801643725105,1.0,0
10,2011-07-24,MSIL IB Equity,INFO IB Equity,1172.15,339.26,0.2894339461672994,1.0,0
11,2011-07-31,INFO IB Equity,MSIL IB Equity,350.83,1181.7,1.0,0.2894339461672994,-8.805905814102298
12,2011-08-14,TCS IB Equity,HCLT IB Equity,504.63,104.75,1.0,4.465873015873016,-36.829801587301546
13,2011-08-14,APNT IB Equity,UTCEM IB Equity,307.44,965.4,1.0,0.3197801643725105,1.275770685221616
14,2011-08-21,MM IB Equity,BHARTI IB Equity,370.15,350.86,0.9478859921653384,1.0,0
15,2011-09-11,BHARTI IB Equity,MM IB Equity,365.82,384.5,1.0,0.9478859921653384,-1.3578360124273523
16,2011-09-18,HUVR IB Equity,NEST IB Equity,345.9,4290.5,12.403873952009253,1.0,0
17,2011-10-02,HCLT IB Equity,TTAN IB Equity,96.38,207.4,2.1518987341772156,1.0,0
18,2011-10-09,NEST IB Equity,HUVR IB Equity,4173.0,334.45,1.0,12.403873952009253,-24.524356750505802
19,2011-10-09,TTAN IB Equity,HCLT IB Equity,204.3,100.4,1.0,2.1518987341772156,11.750632911392422
20,2011-10-16,NTPC IB Equity,IIB IB Equity,142.08,250.95,1.7662584459459456,1.0,0
21,2011-10-16,TATA IB Equity,SBIN IB Equity,40.64,175.46,4.3174212598425195,1.0,0
22,2011-11-06,IIB IB Equity,NTPC IB Equity,287.3,149.46,1.0,1.7662584459459456,-23.315012668918953
23,2011-11-06,SBIN IB Equity,TATA IB Equity,190.67,45.31,1.0,4.3174212598425195,4.952357283464593
24,2011-12-25,HCLT IB Equity,SUNP IB Equity,102.93,253.5,2.4628388225007285,1.0,0
25,2012-01-01,SUNP IB Equity,HCLT IB Equity,250.4,97.0,1.0,2.4628388225007285,-11.504634217429343
26,2012-01-15,TTAN IB Equity,TCS IB Equity,175.6,585.83,3.3361617312072895,1.0,0
27,2012-01-22,SBIN IB Equity,INFO IB Equity,181.67,329.26,1.8124071117961138,1.0,0
28,2012-01-29,TCS IB Equity,TTAN IB Equity,539.22,191.45,1.0,3.3361617312072895,99.48816343963554
29,2012-01-29,INFO IB Equity,SBIN IB Equity,324.99,194.07,1.0,1.8124071117961138,26.743848186271805
30,2012-02-05,NEST IB Equity,ITC IB Equity,4242.75,133.97,0.03157621825466973,1.0,0
31,2012-02-26,ITC IB Equity,NEST IB Equity,136.87,4355.85,1.0,0.03157621825466973,0.6712702846031524
32,2012-03-11,BHARTI IB Equity,BAF IB Equity,314.27,74.04,0.2355935978617113,1.0,0
33,2012-03-18,BAF IB Equity,RELIANCE IB Equity,77.79,359.61,4.622830698033166,1.0,0
