,Date,Buy Stock,Sell Stock,Buy Price,Sell Price,Buy Quantity,Sell Quantity,Profit
0,2011-02-06,HDFCB IB Equity,HCLT IB Equity,204.29,123.45,0.60428802192961,1.0,0
1,2011-02-27,MSIL IB Equity,SBIN IB Equity,1212.65,279.15,0.23019832598029105,1.0,0
2,2011-02-27,HCLT IB Equity,HDFCB IB Equity,116.54,220.07,1.0,0.60428802192961,16.445664986049245
3,2011-02-27,SBIN IB Equity,MSIL IB Equity,279.15,1212.65,1.0,0.23019832598029105,0.0
4,2011-03-20,BHARTI IB Equity,RELIANCE IB Equity,289.8,459.2,1.5845410628019323,1.0,0
5,2011-03-20,HUVR IB Equity,NEST IB Equity,277.5,3852.95,13.884504504504504,1.0,0
6,2011-03-27,RELIANCE IB Equity,BHARTI IB Equity,446.07,286.01,1.0,1.5845410628019323,7.1245893719806395
7,2011-03-27,NEST IB Equity,HUVR IB Equity,3617.45,265.9,1.0,13.884504504504504,74.43974774774745
8,2011-05-08,RELIANCE IB Equity,BHARTI IB Equity,435.31,346.04,0.7949277526360525,1.0,0
9,2011-05-22,BHARTI IB Equity,RELIANCE IB Equity,333.69,426.1,1.0,0.7949277526360525,5.028715398221995
10,2011-06-12,BAF IB Equity,BHARTI IB Equity,59.74,342.43,5.732005356545028,1.0,0
11,2011-06-12,SBIN IB Equity,LT IB Equity,231.16,766.67,3.3166205225817613,1.0,0
12,2011-06-19,BHARTI IB Equity,BAF IB Equity,340.13,60.44,1.0,5.732005356545028,6.312403749581507
13,2011-06-19,LT IB Equity,SBIN IB Equity,759.07,222.01,1.0,3.3166205225817613,-22.747077781623226
14,2011-06-26,RELIANCE IB Equity,BHARTI IB Equity,376.6,350.86,0.931651619755709,1.0,0
15,2011-06-26,HCLT IB Equity,TTAN IB Equity,116.11,231.0,1.9894927224183963,1.0,0
16,2011-06-26,UTCEM IB Equity,HUVR IB Equity,947.1,322.2,0.34019638897687676,1.0,0
17,2011-07-03,UTCEM IB Equity,HUVR IB Equity,959.2,323.3,0.33705170975813176,1.0,0
18,2011-07-03,MSIL IB Equity,LT IB Equity,1153.35,793.64,0.6881172237395414,1.0,0
19,2011-07-10,UTCEM IB Equity,HUVR IB Equity,947.2,336.05,0.3547825168918919,1.0,0
20,2011-07-10,MSIL IB Equity,LT IB Equity,1156.0,796.36,0.6888927335640138,1.0,0
21,2011-07-17,RELIANCE IB Equity,KMB IB Equity,384.99,241.13,0.6263279565703005,1.0,0
22,2011-07-17,BHARTI IB Equity,RELIANCE IB Equity,352.66,384.99,1.0,0.931651619755709,6.016557089750374
