Date,Buy Stock,Sell Stock,Buy Price,Sell Price,Buy Quantity,Sell Quantity,Profit
2011-02-02,UTCEM IB Equity,MSIL IB Equity,1000.25,1215.85,1.215546113471632,1.0,0
2011-02-03,MSIL IB Equity,UTCEM IB Equity,1218.85,1003.0,1.0,1.215546113471632,0.3427518120469881
2011-02-04,BAF IB Equity,ICICIBC IB Equity,57.59,181.18,3.146032297273832,1.0,0
2011-02-07,ICICIBC IB Equity,BAF IB Equity,178.24,57.95,1.0,3.146032297273832,4.072571627018576
2011-02-08,APNT IB Equity,TATA IB Equity,247.29,58.12,0.23502770027093695,1.0,0
2011-02-09,TATA IB Equity,APNT IB Equity,56.15,247.49,1.0,0.23502770027093695,2.0170055400541904
2011-02-11,NEST IB Equity,BHARTI IB Equity,3243.65,288.0,0.08878886439659026,1.0,0
2011-02-14,BHARTI IB Equity,NEST IB Equity,294.98,3394.75,1.0,0.08878886439659026,6.435997410324761
2011-03-16,NTPC IB Equity,NEST IB Equity,147.54,3709.6,25.143012064524875,1.0,0
2011-03-17,NEST IB Equity,NTPC IB Equity,3588.65,146.79,1.0,25.143012064524875,102.09274095160616
2011-03-21,TATA IB Equity,UTCEM IB Equity,56.43,1016.7,18.017012227538544,1.0,0
2011-03-22,UTCEM IB Equity,TATA IB Equity,1022.05,56.68,1.0,18.017012227538544,-0.8457469431152731
2011-03-24,INFO IB Equity,APNT IB Equity,375.61,250.91,0.6680067090865525,1.0,0
2011-03-25,APNT IB Equity,INFO IB Equity,252.49,395.25,1.0,0.6680067090865525,11.539651766459869
2011-03-30,APNT IB Equity,SUNP IB Equity,253.38,222.25,0.8771410529639277,1.0,0
2011-03-31,SUNP IB Equity,APNT IB Equity,220.9,252.69,1.0,0.8771410529639277,0.7447726734548862
2011-04-06,NEST IB Equity,KMB IB Equity,3699.6,225.7,0.061006595307600824,1.0,0
2011-04-07,KMB IB Equity,NEST IB Equity,222.7,3709.6,1.0,0.061006595307600824,3.610065953076008
2011-04-25,JSTL IB Equity,BHARTI IB Equity,97.83,338.38,3.458857201267505,1.0,0
2011-04-26,BHARTI IB Equity,JSTL IB Equity,343.97,99.78,1.0,3.458857201267505,1.1547715424716127
2011-04-27,BHARTI IB Equity,SUNP IB Equity,346.62,221.15,0.6380185794241533,1.0,0
2011-04-28,SUNP IB Equity,BHARTI IB Equity,224.75,348.56,1.0,0.6380185794241533,-2.3622439559171386
2011-04-28,UTCEM IB Equity,JSTL IB Equity,1064.4,95.7,0.0899098083427283,1.0,0
2011-04-29,JSTL IB Equity,UTCEM IB Equity,94.86,1086.8,1.0,0.0899098083427283,2.853979706877105
2011-05-03,INFO IB Equity,HCLT IB Equity,363.84,128.73,0.35380936675461744,1.0,0
2011-05-04,HCLT IB Equity,INFO IB Equity,124.75,358.44,1.0,0.35380936675461744,2.0694294195250635
2011-05-11,IIB IB Equity,NEST IB Equity,251.25,4011.3,15.96537313432836,1.0,0
2011-05-12,NEST IB Equity,IIB IB Equity,4022.8,246.85,1.0,15.96537313432836,-81.74764179104487
2011-05-17,TCS IB Equity,NEST IB Equity,571.25,4110.85,7.196236323851204,1.0,0
2011-05-18,NEST IB Equity,TCS IB Equity,4076.45,575.8,1.0,7.196236323851204,67.1428752735232
2011-05-18,BAF IB Equity,TTMT IB Equity,61.74,227.48,3.6844833171363782,1.0,0
2011-05-19,TTMT IB Equity,BAF IB Equity,228.38,60.6,1.0,3.6844833171363782,-5.100310981535479
2011-05-19,LT IB Equity,BHARTI IB Equity,708.84,329.64,0.4650414762146605,1.0,0
2011-05-20,BHARTI IB Equity,LT IB Equity,336.8,734.18,1.0,0.4650414762146605,4.624151007279435
2011-05-23,MM IB Equity,SUNP IB Equity,343.55,213.08,0.6202299519720564,1.0,0
2011-05-24,SUNP IB Equity,MM IB Equity,215.38,343.83,1.0,0.6202299519720564,-2.126335613447824
2011-05-26,NTPC IB Equity,BHARTI IB Equity,142.17,331.75,2.3334740099880427,1.0,0
2011-05-27,BHARTI IB Equity,NTPC IB Equity,335.49,140.71,1.0,2.3334740099880427,-7.146872054582504
2011-05-30,TCS IB Equity,ITC IB Equity,576.63,125.07,0.216898184277613,1.0,0
2011-05-31,ITC IB Equity,TCS IB Equity,128.9,579.4,1.0,0.216898184277613,-3.2291920295510286
2011-06-02,HUVR IB Equity,MM IB Equity,320.9,330.43,1.0296977251480213,1.0,0
2011-06-03,MM IB Equity,HUVR IB Equity,333.6,318.3,1.0,1.0296977251480213,-5.847214085384836
2011-06-08,MM IB Equity,JSTL IB Equity,331.95,92.39,0.27832504895315563,1.0,0
2011-06-09,JSTL IB Equity,MM IB Equity,91.44,332.33,1.0,0.27832504895315563,1.0557635186022007
2011-06-16,HUVR IB Equity,TCS IB Equity,320.4,575.85,1.7972846441947568,1.0,0
2011-06-17,TCS IB Equity,HUVR IB Equity,555.25,321.05,1.0,1.7972846441947568,21.768235018726678
2011-06-17,TTMT IB Equity,SUNP IB Equity,194.08,239.15,1.2322238252267106,1.0,0
2011-06-20,SUNP IB Equity,TTMT IB Equity,238.25,184.08,1.0,1.2322238252267106,-11.4222382522671
2011-06-20,BHARTI IB Equity,NTPC IB Equity,350.86,145.38,0.41435330331186226,1.0,0
2011-06-21,NTPC IB Equity,BHARTI IB Equity,146.58,352.21,1.0,0.41435330331186226,-0.6406230405290171
2011-06-21,AXSB IB Equity,SBIN IB Equity,248.2,214.98,0.8661563255439162,1.0,0
2011-06-22,SBIN IB Equity,AXSB IB Equity,214.11,250.93,1.0,0.8661563255439162,3.234606768734883
2011-07-06,TTAN IB Equity,HUVR IB Equity,223.85,329.55,1.4721911994639267,1.0,0
2011-07-07,HUVR IB Equity,TTAN IB Equity,335.45,228.35,1.0,1.4721911994639267,0.724860397587693
2011-07-08,BHARTI IB Equity,APNT IB Equity,358.79,316.66,0.8825775523286602,1.0,0
2011-07-11,APNT IB Equity,BHARTI IB Equity,315.14,352.66,1.0,0.8825775523286602,-3.8902003957746443
2011-07-14,BHARTI IB Equity,NTPC IB Equity,357.08,157.46,0.4409656099473508,1.0,0
2011-07-15,NTPC IB Equity,BHARTI IB Equity,157.63,353.83,1.0,0.4409656099473508,-1.6031382323288776
2011-07-18,JSTL IB Equity,TTMT IB Equity,88.19,201.05,2.279736931624901,1.0,0
2011-07-19,TTMT IB Equity,JSTL IB Equity,194.7,89.27,1.0,2.279736931624901,8.812115886154912
2011-07-20,ITC IB Equity,KMB IB Equity,137.17,245.25,1.7879273893708538,1.0,0
2011-07-21,KMB IB Equity,ITC IB Equity,237.95,137.67,1.0,1.7879273893708538,8.193963694685438
2011-07-22,BHARTI IB Equity,TTAN IB Equity,370.37,221.7,0.5985905985905986,1.0,0
2011-07-25,TTAN IB Equity,BHARTI IB Equity,223.3,390.24,1.0,0.5985905985905986,10.293995193995174
2011-07-26,WPRO IB Equity,BAF IB Equity,136.98,68.67,0.5013140604467806,1.0,0
2011-07-27,BAF IB Equity,WPRO IB Equity,68.63,134.84,1.0,0.5013140604467806,-1.0328120893560975
2011-08-17,LT IB Equity,UTCEM IB Equity,729.47,1009.2,1.3834701906863887,1.0,0
2011-08-18,UTCEM IB Equity,LT IB Equity,984.65,722.42,1.0,1.3834701906863887,14.796535155660933
2011-08-22,RELIANCE IB Equity,MM IB Equity,341.25,357.18,1.0466813186813186,1.0,0
2011-08-23,MM IB Equity,RELIANCE IB Equity,354.03,345.44,1.0,1.0466813186813186,7.535594725274757
2011-08-24,TTAN IB Equity,NTPC IB Equity,209.35,141.75,0.6770957726295678,1.0,0
2011-08-25,NTPC IB Equity,TTAN IB Equity,141.71,205.8,1.0,0.6770957726295678,-2.363689992834962
2011-09-02,ITC IB Equity,APNT IB Equity,135.47,325.22,2.400679117147708,1.0,0
2011-09-05,APNT IB Equity,ITC IB Equity,326.86,135.2,1.0,2.400679117147708,-2.2881833616298923
2011-09-08,NTPC IB Equity,NEST IB Equity,138.42,4396.0,31.758416413813034,1.0,0
2011-09-09,NEST IB Equity,NTPC IB Equity,4381.2,136.17,1.0,31.758416413813034,-56.65643693107914
2011-09-14,NTPC IB Equity,TTAN IB Equity,136.42,212.45,1.5573229731710894,1.0,0
2011-09-15,TTAN IB Equity,NTPC IB Equity,218.6,136.83,1.0,1.5573229731710894,-5.51149758099982
2011-09-21,BHARTI IB Equity,HUVR IB Equity,353.74,339.3,0.9591790580652456,1.0,0
2011-09-22,HUVR IB Equity,BHARTI IB Equity,331.8,335.27,1.0,0.9591790580652456,-10.216037202465113
2011-09-28,ITC IB Equity,MSIL IB Equity,131.3,1074.6,8.184310738766182,1.0,0
2011-09-29,MSIL IB Equity,ITC IB Equity,1104.95,134.73,1.0,8.184310738766182,-2.2778141660323072
2011-09-29,MSIL IB Equity,BAF IB Equity,1104.95,61.21,0.05539617177247839,1.0,0
2011-09-30,BAF IB Equity,MSIL IB Equity,61.53,1081.4,1.0,0.05539617177247839,-1.6245798452418638
2011-10-03,BHARTI IB Equity,NTPC IB Equity,342.97,137.25,0.4001807738286147,1.0,0
2011-10-04,NTPC IB Equity,BHARTI IB Equity,136.63,333.47,1.0,0.4001807738286147,-3.1817173513718355
2011-10-04,MSIL IB Equity,TTMT IB Equity,1106.55,145.69,0.13166147033572817,1.0,0
2011-10-05,TTMT IB Equity,MSIL IB Equity,145.84,1084.95,1.0,0.13166147033572817,-2.9938877592517223
2011-10-05,ITC IB Equity,BAF IB Equity,129.6,60.17,0.46427469135802474,1.0,0
