Date,Buy Stock,Sell Stock,Buy Price,Sell Price,Buy Quantity,Sell Quantity,Profit
2012-10-31,WPRO IB Equity,NEST IB Equity,128.27,4430.35,34.53925313791222,1.0,0
2012-11-30,NEST IB Equity,WPRO IB Equity,4710.05,120.87,1.0,34.53925313791222,-535.2904732205504
2012-11-30,TATA IB Equity,WPRO IB Equity,37.32,120.87,3.2387459807073955,1.0,0
2012-12-31,WPRO IB Equity,TATA IB Equity,131.98,36.65,1.0,3.2387459807073955,-13.279959807073945
2013-05-31,NEST IB Equity,BAF IB Equity,4980.85,122.22,0.024537980465181644,1.0,0
2013-06-30,BAF IB Equity,NEST IB Equity,147.43,5306.0,1.0,0.024537980465181644,-17.231475651746205
2013-06-30,NTPC IB Equity,LT IB Equity,126.88,616.69,4.860419293820934,1.0,0
2013-07-31,LT IB Equity,NTPC IB Equity,644.42,123.08,1.0,4.860419293820934,-46.19959331651944
2013-12-31,ICICIBC IB Equity,HUVR IB Equity,197.98,583.25,2.9460046469340337,1.0,0
2014-01-31,HUVR IB Equity,ICICIBC IB Equity,571.8,199.53,1.0,2.9460046469340337,16.016307202747832
2014-01-31,MM IB Equity,APNT IB Equity,473.8,499.85,1.0549810046433095,1.0,0
2014-02-28,APNT IB Equity,MM IB Equity,471.15,442.5,1.0,1.0549810046433095,-4.320905445335555
2014-03-31,AXSB IB Equity,RELIANCE IB Equity,250.76,362.57,1.4458845110862977,1.0,0
2014-04-30,RELIANCE IB Equity,AXSB IB Equity,424.68,293.76,1.0,1.4458845110862977,0.06303397671078415
2014-04-30,SBIN IB Equity,SUNP IB Equity,189.46,573.35,3.0262324501213977,1.0,0
2014-05-31,SUNP IB Equity,SBIN IB Equity,631.55,207.89,1.0,3.0262324501213977,-2.426535944262639
2014-06-30,NTPC IB Equity,TCS IB Equity,132.67,1064.95,8.027059621617548,1.0,0
2014-07-31,TCS IB Equity,NTPC IB Equity,1195.2,129.0,1.0,8.027059621617548,-159.7093088113363
2015-01-31,ITC IB Equity,TCS IB Equity,244.7,1274.1,5.2067838169186755,1.0,0
2015-02-28,TCS IB Equity,ITC IB Equity,1256.4,240.4,1.0,5.2067838169186755,-4.689170412750396
2015-02-28,HCLT IB Equity,ITC IB Equity,473.36,240.4,0.507858712185229,1.0,0
2015-03-31,ITC IB Equity,HCLT IB Equity,228.87,506.3,1.0,0.507858712185229,28.258865979381444
