Date,Buy Stock,Sell Stock,Buy Price,Sell Price,Buy Quantity,Sell Quantity,Profit
2012-09-30,BHARTI IB Equity,HUVR IB Equity,222.57,515.2,2.3147773734106125,1.0,0
2012-10-31,HUVR IB Equity,BHARTI IB Equity,542.65,239.06,1.0,2.3147773734106125,10.72067888754109
2013-08-31,TATA IB Equity,SUNP IB Equity,19.71,566.75,28.754439370877726,1.0,0
2013-09-30,SUNP IB Equity,TATA IB Equity,526.75,27.15,1.0,28.754439370877726,253.9330289193302
2018-11-30,TTMT IB Equity,HUVR IB Equity,178.75,1611.3,9.014265734265734,1.0,0
2018-12-31,HUVR IB Equity,TTMT IB Equity,1825.9,175.4,1.0,9.014265734265734,-244.7977902097903
2018-12-31,TTMT IB Equity,HUVR IB Equity,175.4,1825.9,10.409920182440137,1.0,0
2019-01-31,HUVR IB Equity,TTMT IB Equity,1803.1,173.6,1.0,10.409920182440137,4.062143671607817
2019-01-31,TTMT IB Equity,HUVR IB Equity,173.6,1803.1,10.386520737327189,1.0,0
2019-02-28,HUVR IB Equity,TTMT IB Equity,1796.25,181.75,1.0,10.386520737327189,91.50014400921656
2019-02-28,TTMT IB Equity,HUVR IB Equity,181.75,1796.25,9.883081155433288,1.0,0
2019-03-31,HUVR IB Equity,TTMT IB Equity,1734.95,180.1,1.0,9.883081155433288,44.99291609353497
2019-03-31,TTMT IB Equity,TTAN IB Equity,180.1,1022.9,5.679622431982232,1.0,0
2019-04-30,TTAN IB Equity,TTMT IB Equity,1121.75,187.15,1.0,5.679622431982232,-58.80866185452522
2019-08-31,TTMT IB Equity,KMB IB Equity,129.5,1496.15,11.553281853281854,1.0,0
2019-09-30,KMB IB Equity,TTMT IB Equity,1431.7,116.75,1.0,11.553281853281854,-82.85434362934359
2019-09-30,TTMT IB Equity,NEST IB Equity,116.75,12849.95,110.06381156316917,1.0,0
2019-10-31,NEST IB Equity,TTMT IB Equity,13677.55,115.35,1.0,110.06381156316917,-981.6893361884361
2019-10-31,TTMT IB Equity,BAF IB Equity,115.35,3992.8,34.61465106198526,1.0,0
2019-11-30,BAF IB Equity,TTMT IB Equity,4069.75,174.9,1.0,34.61465106198526,1984.352470741223
2020-04-30,MM IB Equity,NEST IB Equity,272.65,15668.7,57.468182651751334,1.0,0
2020-05-31,NEST IB Equity,MM IB Equity,17906.1,366.6,1.0,57.468182651751334,3161.7357601320427
2020-05-31,IIB IB Equity,NEST IB Equity,468.0,17906.1,38.260897435897434,1.0,0
2020-06-30,NEST IB Equity,IIB IB Equity,17184.4,410.05,1.0,38.260897435897434,-1495.519006410259
2020-06-30,IIB IB Equity,NEST IB Equity,410.05,17184.4,41.908059992683825,1.0,0
2020-07-31,NEST IB Equity,IIB IB Equity,16795.0,492.35,1.0,41.908059992683825,3838.4333373978807
