Date,Buy Stock,Sell Stock,Buy Price,Sell Price,Buy Quantity,Sell Quantity,Profit
2011-06-05,HDFCB IB Equity,ITC IB Equity,230.83,125.07,0.5418273188060477,1.0,0
2011-06-12,ITC IB Equity,HDFCB IB Equity,128.47,237.55,1.0,0.5418273188060477,0.24107958237663452
2011-06-19,INFO IB Equity,HCLT IB Equity,359.69,125.26,0.34824432149906864,1.0,0
2011-06-26,HCLT IB Equity,INFO IB Equity,116.11,338.61,1.0,0.34824432149906864,1.809009702799644
2011-07-24,JSTL IB Equity,TCS IB Equity,88.19,562.7,6.380542011565938,1.0,0
2011-07-31,TCS IB Equity,JSTL IB Equity,569.65,86.93,1.0,6.380542011565938,-14.989482934572955
2011-07-31,MSIL IB Equity,TTAN IB Equity,1181.7,223.3,0.18896505035118896,1.0,0
2011-08-07,TTAN IB Equity,MSIL IB Equity,228.0,1208.75,1.0,0.18896505035118896,0.41150461199966415
2011-09-18,RELIANCE IB Equity,APNT IB Equity,363.63,317.46,0.8730302780298654,1.0,0
2011-09-25,APNT IB Equity,RELIANCE IB Equity,305.1,370.4,1.0,0.8730302780298654,18.270414982262132
2011-10-16,HCLT IB Equity,HUVR IB Equity,103.6,332.4,3.2084942084942085,1.0,0
2011-10-23,HUVR IB Equity,HCLT IB Equity,333.1,109.7,1.0,3.2084942084942085,18.871814671814654
2011-11-13,BHARTI IB Equity,TTAN IB Equity,358.66,216.8,0.6044722020855406,1.0,0
2011-11-20,TTAN IB Equity,BHARTI IB Equity,209.4,365.28,1.0,0.6044722020855406,11.401605977806252
2011-12-04,SBIN IB Equity,NEST IB Equity,177.69,4246.55,23.89864370532951,1.0,0
2011-12-11,NEST IB Equity,SBIN IB Equity,4206.8,190.86,1.0,23.89864370532951,354.49513759919
2011-12-11,TATA IB Equity,BHARTI IB Equity,38.61,351.76,9.110593110593111,1.0,0
2011-12-18,BHARTI IB Equity,TATA IB Equity,308.41,36.19,1.0,9.110593110593111,21.30236467236462
2012-01-15,SBIN IB Equity,HUVR IB Equity,163.78,392.6,2.3971180852362926,1.0,0
2012-01-22,HUVR IB Equity,SBIN IB Equity,386.15,181.67,1.0,2.3971180852362926,49.334442544877284
2012-01-22,LT IB Equity,TCS IB Equity,534.51,553.67,1.0358459149501411,1.0,0
2012-01-29,TCS IB Equity,LT IB Equity,539.22,567.87,1.0,1.0358459149501411,49.00581972273665
